ID,Lat,Lon
LS7_24116083,-116.9942304561497,48.00763843806751
LS7_22988783,-116.68150488608967,48.698160307352786
LS7_22988769,-116.774486942475,48.70202371771106
LS7_24114253,-116.71745858793925,48.185880443396705
LS7_22989389,-116.8124702763345,48.838866123499514
LS7_22989303,-116.97078215553088,48.98180963855993
LS7_22988909,-116.96838858171898,48.81647246582608
LS7_22989747,-117.11886954773028,48.46819840750194
LS7_22989449,-116.98467638385803,48.770079794530794
LS7_22989473,-116.90918863409257,48.737354587752904
LS7_22989605,-117.13355819829093,48.63843178335054
LS7_22989899,-116.89795532486808,48.35724935213246
LS7_22989505,-117.02281186163768,48.72007068132498
LS7_22989829,-116.97394276864172,48.40904184035423
LS7_22990023,-116.73192963642192,48.3018286193344
LS7_22994723,-117.3562569894482,48.8852544842976
